"#Covid: in #Germania 11.176 nuovi casi 
#ANSA
https://t.co/KdXULVEOVI";12;7;2020-10-25 08:58:32
#Barbie batte la #pandemia. Le ultime trimestrali della #Mattel hanno registrato un aumento del 29 per cento delle vendite, un record degli ultimi 20 anni, attribuito dal colosso del giocattolo al #lockdown da #Coronavirus. #ANSA https://t.co/6rflnwG06n;27;10;2020-10-25 07:15:04
Pochi spazi, al liceo Manzoni solo con la media del 9  e la residenza in centro a Milano. La motivazione: l'emergenza #Coronavirus. Protestano gli studenti: 'Non vogliamo una scuola elitaria' https://t.co/eXWVbEwpyw #ANSA;65;19;2020-10-25 07:00:31
