descrizione;likes;retweets;data
Quasi 6mila casi in 24 ore. Schizzano le terapie intensive. L'allarme dei medici: se i casi aumentano la tenuta degli ospedali non oltre due mesi  #Covid #ANSA https://t.co/WbjAffD4aK https://t.co/YmPg0gEzv9;79;45;2020-10-14 05:30
#Conte: 'Non manderemo le forze di polizia nelle abitazioni private, però dobbiamo assumere comportamenti prudenti' #Covid #ANSA https://t.co/Fbo3SdlScS https://t.co/g2gtnwuWxp;72;15;2020-10-14 05:45
Anche #CristianoRonaldo positivo al #Covid  #Ronaldo #CR7 #ANSA https://t.co/O45YdpX4gj https://t.co/x8IGWMVlfb;20;6;2020-10-14 06:00
Il ritorno di #Trump: 'Sono immune ora. Mi sento forte. Vi bacerò tutti' #Covid #ANSA https://t.co/91gFdfAA4l https://t.co/63HHXna32R;28;12;2020-10-14 06:15
Azzurri: #ElShaarawy negativo al tampone di controllo. dopo l'esito positivo di quello a cui si è sottoposto lunedì sera nel ritiro della Nazionale a Bergamo  #Covid #ANSA https://t.co/YmDbZzYfsM https://t.co/FNeD1bhfg7;17;4;2020-10-14 06:30
"Alessia Marcuzzi positiva al Covid-19. La showgirl: ""Tutta la famiglia è risultata negativa, io sono risultata leggermente positiva"". Salta la diretta in tv a Le Iene.  #ANSA #Covid #coronavirus #Marcuzzi @lapinella @redazioneiene  https://t.co/D8G7u62J1I";16;6;2020-10-14 08:56
"Dai viaggiatori ""randagi"" attratti dalle destinazioni che garantiscono ""divertimento"" agli ""opportunisti"" alla ricerca di promozioni. Al TTG Travel Experience di Rimini si parlerà dei 16 profili dei turisti post Covid  #ANSA #turismo #Covid @TtgExpo   https://t.co/ETJKg3ys6U";5;3;2020-10-14 08:59
"""Potremo trovarci dalle attuali poche decine di pazienti ricoverati alle centinaia. Una situazione che potrebbe diventare esplosiva"". A sostenerlo è il direttore della terapia intensiva dell'ospedale Sacco di Milano, Emanuele Catena  #ANSA #Covid  #Milano  https://t.co/e7pNeAF6pu";15;14;2020-10-14 09:23
#Covid: superati i 38 milioni di #casi nel mondo.  Le #vittime sono 1.086.399 #coronavirus  #ANSA https://t.co/LORYcAqGvn;10;8;2020-10-14 09:26
#Covid, l'Irlanda del nord chiude scuole e pub. Per 2 e 4 settimane, limiti anche a matrimoni e funerali  #coronavirus #ANSA https://t.co/VlBy7VzYaG;32;26;2020-10-14 10:42
